date,ticker,horizon,put_call_oi_ratio,spot_vs_flip_pct
2026-09-23,SPY,day,0.901290918512177,4.234738395204376
2026-09-23,SPY,week,2.1149068723974307,-0.6939712534925963
2026-09-23,QQQ,day,11.477557686229058,6.322813102470409
2026-09-23,QQQ,week,30.401685919450514,
2026-09-23,SPY,day,0.901290918512177,14.548011893656717
2026-09-23,SPY,week,2.1149068723974307,-1.6058170614531884
2026-09-23,QQQ,day,11.477557686229058,6.262557304743543
2026-09-23,QQQ,week,30.401685919450514,
2026-09-24,SPY,day,1.4169849910323777,11.717845359134568
2026-09-24,SPY,week,1.972557555413749,23.623092770575067
2026-09-24,QQQ,day,2.1733377517930266,16.19714290835219
2026-09-24,QQQ,week,2.406655745133237,
